text,heading,chemicals
"Fumed silica A-300 (pilot plant at the Chuiko Institute of Surface Chemistry, Kalush, Ukraine; specific surface area of 270 m2·g–1) was used in this work. Fumed silica was previously heated on air for 2 h at 400 °C for removal of adsorbed organic substances. The aliphatic carboxylic acids were obtained from Merck, Germany (methanoic acid (formic), ethanoic acid (acetic), propanoic acid (propionic), butanoic acid (butyric), 2-methylpropanoic acid (isobutyric), pentanoic acid (valeric), hexanoic (caproic), octadecanoic acid (stearic), 99.5%), and Fluka, Germany (2,2-dimethylpropanoic acid (pivalic acid), 99.5%). Glyceryl trimyristate was obtained from Merck, Germany (?99%). Rapeseed meal used in this work was obtained from the Kyiv region of Ukraine.",Experimental Section,"silica, carboxylic acids, methanoic acid (formic), ethanoic acid (acetic), propanoic acid (propionic), butanoic acid (butyric), 2-methylpropanoic acid (isobutyric), pentanoic acid (valeric), hexanoic (caproic), octadecanoic acid (stearic), (2,2-dimethylpropanoic acid (pivalic acid), Glyceryl trimyristate, Rapeseed meal"
"A 100 mg portion of silica was immersed in an aqueous solution of suitable acid of the appropriate concentration (0.01–0.1 mol·L–1) at pH 3.2 ± 0.3 and stirred at room temperature for 24 h to achieve equilibrium. The suspension was decanted and centrifuged for 20 min at 10.000 rpm until the supernatant is clear. Then, samples were dried in air at room temperature. The samples were then aged at room temperature for 24 h, dried, and stored in a desiccator. An adsorption value was determined by difference in the aqueous phase concentration of the organic acids before and after adsorption. The concentration of acids in solutions has been determined by titration with NaOH solution using phenolphthalein as the indicator before and after adsorption.
The adsorption capacity of silica toward FAs in mg·g–1 was calculated as
??=(??0???eq)×????
where C0 and Ceq correspond to the initial and equilibrium concentrations of FA, respectively, (mg·L–1); V corresponds to the volume of the acid aqueous solution (mL); and m corresponds to the mass of sorbent (g).",Experimental Section,"silica, acids, NaOH, phenolphthalein"
"Adsorption of acid molecules was provided by expanded vapors of pentanoic acid on the preliminary outgassed (450 °C, 133 Pa, 2h) thin self-supporting wafer SiO2 sample. Prior to adsorption, pentanoic acid was degassed by online freeze–pump–thaw cycles performed at liquid nitrogen temperature.",Experimental Section,"pentanoic acid, SiO2, nitrogen"
"Additionally, other samples with concentrations of 0.1, 0.3, 0.4, and 0.6 mmol·g–1 of the corresponding acid on the silica were obtained by impregnation. A 25 mL of aqueous solution of acid was added to 1 g of fumed silica in Petri dish. A sample of hexanoic acid due to its low solubility in water was obtained from aqueous ethanol solution (50% alcohol by volume) of silica. The silica-supported acid samples for thermogravimetric analysis were obtained by soaking silica in CCl4 solutions of the corresponding acid. The stearic acid and glyceryl trimyristate samples (0.3 mmol·g–1) on the silica surface were obtained by soaking silica in their ethanol solutions. The components were mixed and left on air at ?20 °C until the solvent was fully evaporated (?24 h). Mechanical mixtures of rapeseed meal with silica were obtained by grinding in an agate mortar. In experiment, an air-dried sample was under investigation. The samples were then aged at room temperature for 24 h, dried, and stored in a desiccator.",Experimental Section,"silica, hexanoic acid, ethanol, CCl4, stearic acid, glyceryl trimyristate, rapeseed meal"
"FTIR-spectra were recorded at room temperature in the range between 400 and 4000 cm–1 on a Thermo Nicolet NEXUS FT-IR spectrophotometer. The spectra were obtained with a theoretical resolution of 4 cm–1 with 100 scans and a scan speed of 0.5 cm·s–1. FTIR spectra were obtained for all samples (adsorbed and impregnated). Both the self-supporting discs (pellets) prepared by pressing, using 8 MPa pressure, weighing about 20 mg, and the powder weighing about 180 mg were used in the IR spectrometric measurement. The weights of silica samples were 20 (for pellets) and 180 mg (for powder).",Experimental Section,silica 
"Pellets of silica-supported acids with a density of 2–3 mg·cm–2 for FTIR investigations with heating and evacuation steps were placed in a specially designed cell attached to the vacuum system. The cell was designed in way allowed carry out heating and further evacuation without change arrangement of sample in the cell. The sample was evacuated at room temperature and a pressure of 10–4 mmHg for 3 h before measurements. Spectra were taken after evacuation at room temperature and 60 and 100°C on a Specord-75 IR spectrometer (“Carl Zeiss”, Germany).",Experimental Section,silica
"A heatable and stationary mounted quartz glass IR cell equipped with cooled KBr windows was used for the examination of adsorbed species produced as a result of surface reactions of valeric acid molecules on the active centers of SiO2 following a temperature treatment at desired temperatures. Specord IR-75 (“Carl Zeiss”, Germany) was the employed spectrometer. The spectra were recorded after outgassing samples at the desired temperature (kept for 5 min) and cooling to RT. For these studies, samples of pentanoic acid obtained by adsorption from the gas phase and by the impregnation method (0.3 mmol·g–1) were used.",Experimental Section,"KBr, valeric acid, SiO2, pentanoic acid"
"The density functional theory method (DFT) was used to identify the nature of the absorption bands in the IR spectra. DFT calculations were carried out using the B3LYP, wB97XD, and M062X functionals and the 6-311++G(d,p) basis set. The last two functionals include the dispersion correction of forces, which is especially important in the study of intermolecular interactions. All calculations were performed using the GAUSSIAN 09 software (version D.01). (40) Active centers of the silica surface on which the adsorption and further thermal transformations of valeric acid probably occur were selected within (41) the framework of the cluster approximation model. In this approximation, the broken chemical bonds at the silica active centers, directed into the volume of the solid, were closed by hydrogen atoms",Experimental Section,"valeric acid, hydrogen atoms"
"In addition, the silica surface itself was modeled using two different approaches. The first one is based on the “soft” surface model, in which the SiO4 fragments in the active center can move relatively easily relative to each other. In this case, the structural rigidity (the possibility of rearrangement) is determined mainly by the energies of hydrogen bonds and dispersive interactions. The second approach is the so-called “hard” surface model. The possibility of the active center reorganization is determined primarily by the deformation of Si–O–Si and O–Si–O valence angles and the change in the torsion angles between its fragments.
",Experimental Section,"SiO4, hydrogen"
"Establishing the interaction between the silica surface and compounds containing a carboxyl group is of significant fundamental and applied importance. Ketenization reaction kinetics for a series of aliphatic acids on a silica surface was previously investigated using the linear free energy relationships (LFER) approach. (19) Kinetic parameters and reaction constants, ?0, were calculated for the reaction of ketene formation. Based on the data obtained, an intramolecular mechanism of ketenization was proposed from an adsorbed carboxylate, which proceeds through a four-membered low-polarity transition state. However, the question regarding the adsorbed carboxylate remains open mainly because there is no sufficient spectroscopic confirmation of such species, e.g., the corresponding IR absorption bands. Despite surface siloxane bonds being nonactive, (19,38) silanol groups lead to carboxylates upon interaction with the acidic substrate leading to an absorption band ?C?O around 1680 cm–1 for adsorbed valeric acid. (15,21,42,43) An alternative adsorption mechanism was proposed resulting from a nucleophilic addition to siloxane bridges. (19,35) Zhuravlev (44) considers the formation of reactive siloxane bridges resulting from surface dehydration and dehydroxylation processes as confirmed in several simulation works. (45) These studies provide data on the participation of siloxane bridges in nucleophilic addition reactions, particularly with ammonia and some primary, secondary, and tertiary amines. (46) The data of TPD MS studies (19) indicate a more complex nature of the interaction of aliphatic acids with the silica surface. In particular, three stages of desorption and destruction of carboxylic acids from the surface indicate at least three surface forms of adsorption. Obviously, the silica surface cannot be described only by the ideal cristobalite structure with uniformly distributed silanols; i.e., the surface may present areas of unevenly distributed silanol groups and hydrophobic siloxane. The following IR spectroscopy adsorption data and computational simulations correlate the stages during the pyrolytic process to specific adsorption modes of carbolylic structures on silica surfaces, including forming donor–acceptor intermediate complexes between the carboxylic substrates and a penta-coordinated silicon atom",result and discussion,"silica, aliphatic acids, ketene, carboxylate, acidic, valeric acid, siloxane, ammonia, amines, carboxylic acids, silanol, siloxane, silicon atom"
